ticket_id,customer_name,opening_date,latency_ms,is_resolved,issue_category
1000,Luis Torres,2026-01-19,421,1,Configuration
1001,Luis Torres,,245,0,Layer 1
1002,Luis Torres,,398,0,Layer 1
1003,Maria Lopez,2026-01-18,245,1,Layer 2
1004,Luis Torres,,245,0,Layer 1
1005,Maria Lopez,2026-01-24,340,1,Software
1006,Ana Silva,,449,0,Software
1007,Pedro Marmol,,18,1,Layer 1
1008,Ana Silva,2026-01-30,489,1,Configuration
1009,Pedro Marmol,,130,1,Layer 2
1010,Juan Perez,2026-02-14,177,0,Layer 1
1011,Juan Perez,2026-02-08,383,0,Layer 2
1012,Juan Perez,2026-02-10,87,1,Layer 2
1013,Luis Torres,,251,1,Configuration
1014,Maria Lopez,,152,0,Layer 1
1015,Carlos Ruiz,,166,0,Software
1016,Carlos Ruiz,,245,1,Software
1017,Luis Torres,,245,1,Layer 2
1018,Luis Torres,2026-02-05,149,1,Software
1019,Pedro Marmol,,327,1,Software
1020,Pedro Marmol,,437,0,Layer 2
1021,Carlos Ruiz,,269,1,Configuration
1022,Ana Silva,,473,1,Software
1023,Ana Silva,,459,1,Software
1024,Juan Perez,,472,1,Software
1025,Maria Lopez,,211,1,Layer 2
1026,Ana Silva,,6,0,Layer 1
1027,Carlos Ruiz,,291,0,Configuration
1028,Pedro Marmol,,303,1,Software
1029,Maria Lopez,2026-02-12,54,1,Software
1030,Pedro Marmol,,444,0,Configuration
1031,Juan Perez,,433,1,Software
1032,Carlos Ruiz,,493,1,Layer 1
1033,Pedro Marmol,,497,0,Software
1034,Pedro Marmol,,118,1,Configuration
1035,Maria Lopez,,488,0,Software
1036,Luis Torres,,75,1,Layer 1
1037,Carlos Ruiz,,169,0,Layer 1
1038,Juan Perez,,430,1,Layer 1
1039,Juan Perez,2026-01-30,59,0,Software
1040,Maria Lopez,,124,1,Layer 2
1041,Pedro Marmol,,99,1,Configuration
1042,Ana Silva,,228,1,Layer 2
1043,Juan Perez,,195,1,Layer 2
1044,Carlos Ruiz,,324,1,Configuration
1045,Maria Lopez,2026-01-20,341,0,Layer 2
1046,Pedro Marmol,,267,1,Layer 1
1047,Maria Lopez,,184,0,Layer 2
1048,Ana Silva,,325,1,Layer 2
1049,Carlos Ruiz,,143,1,Configuration
1050,Carlos Ruiz,,291,1,Configuration
1051,Carlos Ruiz,,30,1,Configuration
1052,Luis Torres,2026-02-05,245,0,Layer 2
1053,Juan Perez,,130,1,Configuration
1054,Luis Torres,,113,0,Software
1055,Ana Silva,,367,0,Configuration
1056,Juan Perez,2026-01-21,494,0,Configuration
1057,Juan Perez,,233,0,Layer 1
1058,Maria Lopez,,379,1,Layer 1
1059,Pedro Marmol,,115,0,Software
1060,Maria Lopez,,303,1,Configuration
1061,Juan Perez,,364,1,Layer 2
1062,Pedro Marmol,,136,1,Layer 1
1063,Maria Lopez,2026-01-24,234,0,Configuration
1064,Juan Perez,,444,1,Layer 1
1065,Luis Torres,,474,1,Software
1066,Maria Lopez,,245,0,Software
1067,Pedro Marmol,,235,1,Layer 1
1068,Juan Perez,,333,0,Layer 1
1069,Pedro Marmol,,245,0,Configuration
1070,Maria Lopez,,164,1,Configuration
1071,Luis Torres,2026-01-25,300,0,Layer 2
1072,Pedro Marmol,2026-01-25,47,1,Software
1073,Pedro Marmol,,70,0,Configuration
1074,Juan Perez,,274,1,Layer 1
1075,Juan Perez,,251,1,Configuration
1076,Ana Silva,,32,1,Software
1077,Juan Perez,2026-02-13,245,1,Layer 2
1078,Juan Perez,,42,1,Layer 1
1079,Pedro Marmol,,29,0,Configuration
1080,Pedro Marmol,,319,1,Layer 2
1081,Maria Lopez,,238,0,Configuration
1082,Pedro Marmol,,430,1,Layer 2
1083,Luis Torres,,245,0,Layer 2
1084,Juan Perez,2026-02-03,304,0,Layer 2
1085,Pedro Marmol,,282,0,Layer 2
1086,Pedro Marmol,,245,1,Software
1087,Maria Lopez,,226,1,Layer 2
1088,Ana Silva,,147,0,Layer 2
1089,Juan Perez,2026-01-31,317,1,Software
1090,Carlos Ruiz,,355,0,Layer 2
1091,Ana Silva,2026-02-11,147,0,Layer 2
1092,Ana Silva,,105,1,Layer 1
1093,Juan Perez,,60,0,Configuration
1094,Juan Perez,,245,1,Layer 2
1095,Juan Perez,2026-02-02,42,1,Configuration
1096,Maria Lopez,,245,0,Layer 1
1097,Pedro Marmol,,299,1,Layer 1
1098,Maria Lopez,,414,1,Layer 1
