ticket_id,customer_name,opening_date,latency_ms,is_resolved,issue_category
1000,luis torres,2026/01/19,421,Yes,Configuration
1001,luis torres,13/02/2026,-46,N,Layer 1
1002,luis torres,02-07-26,398,N,Layer 1
1003,MARIA LOPEZ,2026/01/18,-17,y,Layer 2
1004,luis torres,16/02/2026,-98,No,Layer 1
1005,MARIA LOPEZ,2026/01/24,340,1,Software
1006,Ana Silva,2026-01-24,449,No,Software
1007,Pedro Marmol,07/02/2026,18,1,Layer 1
1008,Ana Silva,2026/01/30,489,S,Configuration
1009,Pedro Marmol,01-23-26,130,y,Layer 2
1010,juan perez,2026/02/14,177,No,Layer 1
1011,juan perez,2026/02/08,383,No,Layer 2
1012,juan perez,2026/02/10,87,S,Layer 2
1013,luis torres,02-12-26,251,y,Configuration
1014,MARIA LOPEZ,2026-02-14,152,0,Layer 1
1015,  carlos ruiz,02-06-26,166,0,Software
1016,  carlos ruiz,01-26-26,-17,S,Software
1017,luis torres,01/02/2026,-92,1,Layer 2
1018,luis torres,2026/02/05,149,Yes,Software
1019,Pedro Marmol,10/02/2026,327,1,Software
1020,Pedro Marmol,02-03-26,437,0,Layer 2
1021,  carlos ruiz,10/02/2026,269,S,Configuration
1022,Ana Silva,2026-02-05,473,1,Software
1023,Ana Silva,2026-02-05,459,Yes,Software
1024,juan perez,22/01/2026,472,Yes,Software
1025,MARIA LOPEZ,2026-02-03,211,1,Layer 2
1026,Ana Silva,2026-02-09,6,0,Layer 1
1027,  carlos ruiz,2026-02-03,291,N,Configuration
1028,Pedro Marmol,02-01-26,303,Yes,Software
1029,MARIA LOPEZ,2026/02/12,54,1,Software
1030,Pedro Marmol,01-21-26,444,N,Configuration
1031,juan perez,01-25-26,433,y,Software
1032,  carlos ruiz,17/01/2026,493,1,Layer 1
1033,Pedro Marmol,09/02/2026,497,N,Software
1034,Pedro Marmol,2026-01-26,118,1,Configuration
1035,MARIA LOPEZ,2026-01-20,488,No,Software
1036,luis torres,17/01/2026,75,Yes,Layer 1
1037,  carlos ruiz,01-20-26,169,N,Layer 1
1038,juan perez,12/02/2026,430,1,Layer 1
1039,juan perez,2026/01/30,59,No,Software
1040,MARIA LOPEZ,02-15-26,124,y,Layer 2
1041,Pedro Marmol,2026-01-26,99,S,Configuration
1042,Ana Silva,17/01/2026,228,y,Layer 2
1043,juan perez,2026-01-18,195,Yes,Layer 2
1044,  carlos ruiz,2026-01-31,324,Yes,Configuration
1045,MARIA LOPEZ,2026/01/20,341,N,Layer 2
1046,Pedro Marmol,2026-02-03,267,1,Layer 1
1047,MARIA LOPEZ,02-14-26,184,N,Layer 2
1048,Ana Silva,02-01-26,325,S,Layer 2
1049,  carlos ruiz,13/02/2026,143,1,Configuration
1050,  carlos ruiz,02-06-26,291,1,Configuration
1051,  carlos ruiz,2026-01-18,30,y,Configuration
1052,luis torres,2026/02/05,-18,0,Layer 2
1053,juan perez,01-27-26,130,1,Configuration
1054,luis torres,02-06-26,113,No,Software
1055,Ana Silva,05/02/2026,367,0,Configuration
1056,juan perez,2026/01/21,494,N,Configuration
1057,juan perez,15/02/2026,233,0,Layer 1
1058,MARIA LOPEZ,2026-01-25,379,y,Layer 1
1059,Pedro Marmol,02-05-26,115,N,Software
1060,MARIA LOPEZ,2026-02-16,303,1,Configuration
1061,juan perez,2026-02-12,364,Yes,Layer 2
1062,Pedro Marmol,26/01/2026,136,y,Layer 1
